claim_id,date,product_model,plant,failure_code,narrative
C-10017,2026-03-11,Apex SUV,Plant C - Leipzig,HVAC,Customer reports: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10328,2026-05-17,Sedan Alpha,Plant D - Yokohama,HVAC,Tech notes: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10303,2026-06-14,Apex SUV,Plant C - Leipzig,POWERTRAIN,Tech notes: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10127,2026-07-19,Model X,Plant B - Austin,BRAKES,Tech notes: Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10282,2026-07-13,Apex SUV,Plant A - Fremont,BRAKES,Driver stated Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-9001,2026-01-14,Model X,Plant A - Fremont,OTHER,Customer reports faint clunking sound from front left when driving over rough neighborhood roads.
C-9026,2026-07-16,Model X,Plant A - Fremont,OTHER,Clunk noise on left front side during speed bump compression.
C-10198,2026-04-25,Sedan Alpha,Plant C - Leipzig,RIDE QUALITY,Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10133,2026-07-03,Model X,Plant B - Austin,ELECTRICAL-NFF,"Customer reports: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10332,2026-05-22,Apex SUV,Plant A - Fremont,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10098,2026-06-22,Titan EV,Plant D - Yokohama,ELECTRICAL-NFF,"Tech notes: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10244,2026-01-26,Titan EV,Plant C - Leipzig,POWERTRAIN,Customer reports: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10159,2026-03-06,Model X,Plant A - Fremont,RIDE QUALITY,Field complaint: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10063,2026-02-03,Cruiser Pro,Plant C - Leipzig,POWERTRAIN,Customer reports: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-9002,2026-02-18,Model X,Plant A - Fremont,RIDE QUALITY,Driver notes unusual metallic tap near driver's front wheel when traversing speed bumps.
C-10144,2026-06-02,Titan EV,Plant A - Fremont,HVAC,Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10278,2026-06-18,Model X,Plant B - Austin,STEERING,Customer reports: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10184,2026-01-10,Model X,Plant C - Leipzig,BODY,Driver stated Passenger window makes grinding sound when rolling down.
C-10067,2026-02-10,Titan EV,Plant C - Leipzig,BODY,Passenger window makes grinding sound when rolling down.
C-10146,2026-05-23,Apex SUV,Plant D - Yokohama,HVAC,Field complaint: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10195,2026-02-07,Model Y,Plant B - Austin,STEERING,Customer reports: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10178,2026-05-31,Apex SUV,Plant C - Leipzig,BRAKES,Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10189,2026-04-23,Model X,Plant A - Fremont,RIDE QUALITY,Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10268,2026-01-25,Model Y,Plant A - Fremont,POWERTRAIN,Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10025,2026-01-17,Cruiser Pro,Plant D - Yokohama,STEERING,Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10062,2026-02-22,Model Y,Plant C - Leipzig,POWERTRAIN,Field complaint: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-9010,2026-05-28,Model X,Plant A - Fremont,STEERING,Customer reports front driver side knocking when turning into uneven driveways.
C-10079,2026-04-01,Titan EV,Plant B - Austin,BODY,Tech notes: Driver side door latch requires extra force to shut completely.
C-10023,2026-05-11,Model X,Plant A - Fremont,RIDE QUALITY,Customer reports: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10213,2026-04-16,Model Y,Plant B - Austin,ELECTRICAL,Customer reports: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10348,2026-04-03,Titan EV,Plant A - Fremont,BRAKES,Field complaint: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10135,2026-07-20,Sedan Alpha,Plant D - Yokohama,BRAKES,Driver stated Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10122,2026-06-14,Model Y,Plant D - Yokohama,BODY,Tech notes: Driver side door latch requires extra force to shut completely.
C-10338,2026-07-02,Model Y,Plant B - Austin,POWERTRAIN,Customer reports: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-9023,2026-07-10,Model X,Plant A - Fremont,ELECTRICAL-NFF,Customer suspected front radar loose; technician verified noise is front-left suspension ball joint clunk.
C-10264,2026-04-16,Cruiser Pro,Plant D - Yokohama,POWERTRAIN,Field complaint: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10070,2026-02-09,Sedan Alpha,Plant B - Austin,HVAC,Driver stated Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10125,2026-07-12,Sedan Alpha,Plant A - Fremont,BODY,Field complaint: Driver side door latch requires extra force to shut completely.
C-10045,2026-02-18,Model X,Plant D - Yokohama,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10120,2026-06-21,Apex SUV,Plant B - Austin,STEERING,Field complaint: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10074,2026-02-11,Titan EV,Plant D - Yokohama,BODY,Passenger window makes grinding sound when rolling down.
C-10102,2026-03-04,Titan EV,Plant A - Fremont,RIDE QUALITY,Field complaint: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10191,2026-05-22,Titan EV,Plant D - Yokohama,BRAKES,Customer reports: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10139,2026-07-26,Cruiser Pro,Plant D - Yokohama,RIDE QUALITY,Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10359,2026-02-01,Cruiser Pro,Plant D - Yokohama,POWERTRAIN,Field complaint: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10360,2026-04-09,Model Y,Plant D - Yokohama,POWERTRAIN,Field complaint: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10001,2026-06-13,Model X,Plant C - Leipzig,ELECTRICAL,Tech notes: Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10157,2026-01-27,Titan EV,Plant C - Leipzig,BRAKES,Field complaint: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10363,2026-01-27,Sedan Alpha,Plant C - Leipzig,BRAKES,Driver stated Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-9009,2026-05-19,Model X,Plant A - Fremont,SUSPENSION,Front-left suspension knocking noise when decelerating on rough pavement.
C-10011,2026-04-03,Apex SUV,Plant A - Fremont,ELECTRICAL-NFF,"Customer reports: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10051,2026-06-16,Model X,Plant B - Austin,BRAKES,Tech notes: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10012,2026-06-19,Sedan Alpha,Plant A - Fremont,HVAC,Tech notes: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10311,2026-04-26,Sedan Alpha,Plant A - Fremont,ELECTRICAL,Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10020,2026-06-17,Cruiser Pro,Plant D - Yokohama,RIDE QUALITY,Tech notes: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10209,2026-07-11,Cruiser Pro,Plant A - Fremont,BRAKES,Customer reports: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10365,2026-04-25,Apex SUV,Plant C - Leipzig,BRAKES,Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10287,2026-06-03,Model X,Plant B - Austin,BRAKES,Driver stated Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
